id|authority_id|name|publisher_id|place|url|machine_name|sort_name|identifier|type
1309|1309|Proceedings of SPIE|2298|||spie 2006|spie 2006|0277-786X|ISSN
676|676|European Journal of Political Research|543|||european journal of political research|european journal of political research|0304-4130|ISSN
1319|1319|A consumer's guide to the apocalypse:   why there is no cultural war in America and why we will perish nonetheless|36|||a consumer s guide to the apocalypse why there is no cultural war in america and why we will perish nonetheless|consumer s guide toapocalypse why there is no cultural war in america and why we will perish nonetheless|9781933859286|ISBN13
782|782|Mathematics Magazine|1800|||mathematics magazine|mamatics magazine|0025-570X|ISSN
1311|1317|Annual International Conference of the IEEE Engineering in Medicine and Biology Society.|33|||annual international conference of the ieee engineering in medicine and biology society|annual international conference ofieee engineering in medicine and biology society|1557-170X|ISSN
1612|1612|A Charlie Brown religion: exploring the spiritual life and work of Charles M. Schulz|155|||a charlie brown religion exploring the spiritual life and work of charles m schulz|charlie brown religion exploringspiritual life and work of charles m schulz|9781496804686|ISBN13
172|172|Geografia Fisica e Dinamica Quaternaria|2909|||geografia fisica e dinamica quaternaria|geografia fisica e dinamica quaternaria|0391-9838|ISSN
913|913|Hispanófila|218|||hispan fila|hispan fila|0018-2206|ISSN
498|498|Twentieth-Century Literature|89|||twentieth centry literature|twentieth centry literature|0041-462X|ISSN
731|731|Journal of Middle East Women's Studies|1496|||journal of middle east women s studies|journal of middle east women s studies|1552-5864|ISSN
912|912|Journal de Theorie des Nombres de Bordeaux|2960|||journal de theorie des nombres de bordeaux|journal deorie des nombres de bordeaux|1246-7405|ISSN
717|717|Journal for Advancement of Marketing Education,|2946|||journal for advancement of marketing education|journal for advancement of marketing education|1537-5137|ISSN
1031|1031|Journalism History|263|||journalism history|journalism history|0094-7679|ISSN
1050|1050|Journal of Indo-Judaic Studies|2886|||journal of indo judaic studies|journal of indo judaic studies|1206-9330|ISSN
586|586|Journal of Teaching Writing|2846|||journal of teaching writing|journal of teaching writing|0735-1259|ISSN
621|621|Journal of the American Oriental Society|249|||journal of the american oriental society|journal ofamerican oriental society|0003-0279|ISSN
879|879|Molecular biology and evolution|10|||molecular biology and evolution|molecular biology and evolution|0737-4038|ISSN
976|976|New Mexico Historical Review|2901|||new mexico historical review|new mexico historical review|0028-6206|ISSN
1012|1012|New Ohio Review|2782|||new ohio review|new ohio review|1935-357X|ISSN
42|42|The Marshall Plan:   lessons learned for the 21st century|1|||the marshall plan lessons learned for the 21st century|marshall plan lessons learned for the 21st century|9789264044241|ISBN13
49|49|Theatre Journal|1666|||theatre journal|atre journal|0192-2882|ISSN
58|58|Letters to the world:   poems from the Wom-po listserv|1|||letters to the world poems from the wom po listserv|letters toworld poems from the wom po listserv|9781597090995|ISBN13
59|59|Voicing American poetry:   sound and performance from the 1920s to the present|1|||voicing american poetry sound and performance from the 1920s to the present|voicing american poetry sound and performance from1920s to the present|9780801446689|ISBN13
93|93|The creative writing murders:   a short novel|1|||the creative writing murders a short novel|creative writing murders a short novel|9780945083207|ISBN13
63|63|Understanding place:   GIS and mapping across the curriculum|1|||understanding place g is and mapping across the curriculum is|understanding place g is and mapping acrosscurriculum is|9781589481497|ISBN13
67|67|Charles Johnson: the novelist as philosopher|155|||charles johnson the novelist as philosopher|charles johnsonnovelist as philosopher|9781578069736|ISBN13
68|68|The hands of the tongue:   essays on deviant speech|1|||the hands of the tongue essays on deviant speech|hands of the tongue essays on deviant speech|9781580441148|ISBN13
72|72|Sociological Theory|793|||sociological theory|sociologicalory|0735-2751|ISSN
74|74|Integral Equations and Operator Theory|2308|||integral equations and operator theory|integral equations and operatorory|0378-620X|ISSN
83|83|Empathy and the novel|1|||empathy and the novel|empathy andnovel|9780195175769|ISBN13
89|89|In search of a usable past:   the Marshall Plan and postwar reconstruction today|1|||in search of a usable past the marshall plan and postwar reconstruction today|in search of a usable pastmarshall plan and postwar reconstruction today|9780935524062|ISBN13
92|92|Circular villages of the Monongahela tradition|164|||circular villages of the monongahela tradition|circular villages ofmonongahela tradition|9780817315733|ISBN13
120|3299|The imprints of terror:   the rhetoric of violence and the violence of rhetoric in modern Russian culture|1|||the imprints of terror the rhetoric of violence and the violence of rhetoric in modern russian culture|imprints of terror the rhetoric of violence and the violence of rhetoric in modern russian culture|9783876909790|ISBN13
125|125|The rise of nationalism in Venezuela|1|||the rise of nationalism in venezuela|rise of nationalism in venezuela|9780813030111|ISBN13
133|133|John Milton Mackie's The administration of President Washington|1|||john milton mackie s the administration of president washington|john milton mackie sadministration of president washington|9780977684113|ISBN13
17|17|Journal of Operator Theory|2934|||journal of operator theory|journal of operatorory|0379-4024|ISSN
204|204|Studia Mathematica|2050|||studia mathematica|studia mamatica|0039-3223|ISSN
218|3301|The  strange girl  in twentieth century Spanish novels written by women|1|||the strange girl in twentieth century spanish novels written by women|strange girl in twentieth century spanish novels written by women|1931948224|ISBN10
223|223|The leadership dilemma in modern democracy|1|||the leadership dilemma in modern democracy|leadership dilemma in modern democracy|1840646462|ISBN10
227|227|Telling others what to think:   recollections of a pundit|1|||telling others what to think recollections of a pundit|telling ors what to think recollections of a pundit|0807130338|ISBN10
229|229|Indiana University Mathematics Journal|1495|||indiana university mathematics journal|indiana university mamatics journal|0022-2518|ISSN
231|231|Hunting from home:   a year afield in the Blue Ridge Mountains|1|||hunting from home a year afield in the blue ridge mountains|hunting from home a year afield inblue ridge mountains|0393049159|ISBN10
2065|1448|Nonprofit and Voluntary Sector Quarterly|82|||nonprofit and voluntary sector quarterly|nonprofit and voluntary sector quarterly|0899-7640|ISSN
104|104|ACS Symposium Series|710|||acs symposium series|acs symposium series|0097-6156|ISSN
109|109|Proceedings / International Conference on Quality Software. International Conference on Quality Software|1|||proceedings international conference on quality software international conference on quality software|proceedings international conference on quality software international conference on quality software|1550-6002|ISSN
469|469|Women in the Spanish novel today: essays on the reflection of self in the works of three generations of writers|1|||women in the spanish novel today essays on the reflection of self in the works of three generations of writers|women inspanish novel today essays on the reflection of self in the works of three generations of writers|9780786443543|ISBN13
473|473|Thunder at a Playhouse: Essaying Shakespeare and the Early Modern Stage|1|||thunder at a playhouse essaying shakespeare and the early modern stage|thunder at a playhouse essaying shakespeare andearly modern stage|9781575911267|ISBN13
494|494|Junctures: A Journal of Thematic Dialogue|1|||junctures a journal of thematic dialogue|junctures a journal ofmatic dialogue|1176-5119|ISSN
501|501|The New School Psychology Bulletin|1|||the new school psychology bulletin|new school psychology bulletin|1931-7948|ISSN
502|502|The Journal of Social Psychology|363|||the journal of social psychology|journal of social psychology|0022-4545|ISSN
508|508|The philosophy of science : an encyclopedia|1|||the philosophy of science an encyclopedia|philosophy of science an encyclopedia|9780415939270|ISBN13
515|515|Scenes of the apple : food and the female body in nineteenth- and twentieth-century women's writing|1|||scenes of the apple food and the female body in nineteenth and twentieth century women s writing|scenes ofapple food and the female body in nineteenth and twentieth century women s writing|0791457834|ISBN10
520|520|Andre Malraux: the farfelu as expression of the feminine and the erotic|99|||andre malraux the farfelu as expression of the feminine and the erotic|andre malrauxfarfelu as expression of the feminine and the erotic|0820422967|ISBN10
524|3293|Lesbian dames : Sapphism in the long eighteenth century|1|||lesbian dames sapphism in the long eighteenth century|lesbian dames sapphism inlong eighteenth century|9780754673354|ISBN13
529|529|Italy in the age of the Renaissance : 1300-1550|1|||italy in the age of the renaissance 1300 1550|italy inage of the renaissance 1300 1550|0198700393|ISBN10
536|3318|The Washington Post|1|||the washington post|washington post|0740-5421|ISSN
558|558|Biology and Management of the World Tarpon and Bonefish Fisheries|131|||biology and management of the world tarpon and bonefish fisheries|biology and management ofworld tarpon and bonefish fisheries|084932792X|ISBN10
569|569|Dissidences. Hispanic Journal of Theory and Criticism.|1|||dissidences hispanic journal of theory and criticism|dissidences hispanic journal ofory and criticism|1553-6793|ISSN
572|572|The Ties That Bind: Questioning Family Dynamics and Family Discourse in Hispanic Literature|1|||the ties that bind questioning family dynamics and family discourse in hispanic literature|ties that bind questioning family dynamics and family discourse in hispanic literature|9780761826491|ISBN13
616|616|Latin American Theatre Review|1|||latin american theatre review|latin americanatre review|0023-8813|ISSN
602|602|Open the gates : poems for young readers|1|||open the gates poems for young readers|opengates poems for young readers|9780982156162|ISBN13
622|622|Journal of the American Academy of Religion|507|||journal of the american academy of religion|journal ofamerican academy of religion|0002-7189|ISSN
626|626|The good daughter :a memoir of my mother's hidden life|1|||the good daughter a memoir of my mother s hidden life|good daughter a memoir of my mother s hidden life|9780446534970|ISBN13
19|19|Journal of Number Theory|1276|||journal of number theory|journal of numberory|0022-314X|ISSN
631|631|The Review of Metaphysics|2029|||the review of metaphysics|review of metaphysics|0034-6632|ISSN
633|633|The Ashgate research companion to Thomas Hardy|1|||the ashgate research companion to thomas hardy|ashgate research companion to thomas hardy|9780754662457|ISBN13
634|3243|Teaching narrative theory|1|||teaching narrative theory|teaching narrativeory|9781603290807|ISBN13
639|639|Blackbird: an online journal of literature and the arts|132|||blackbird an online journal of literature and the arts|blackbird an online journal of literature andarts|1540-3068|ISSN
669|669|The Louisville Review|1|||the louisville review|louisville review|0148-3250|ISSN
679|679|The creation/evolution controversy a battle for cultural power|1|||the creation evolution controversy a battle for cultural power|creation evolution controversy a battle for cultural power|9780275962623|ISBN13
681|681|After defeat : how the East learned to live with the West|6|||after defeat how the east learned to live with the west|after defeat howeast learned to live with the west|9780521191821|ISBN13
677|677|Photosynthesis Research|2308|||photosynthesis research|photosynsis research|0166-8595|ISSN
694|694|Decentralization and recentralization in the developing world : comparative studies from Africa and Latin America|1|||decentralization and recentralization in the developing world comparative studies from africa and latin america|decentralization and recentralization indeveloping world comparative studies from africa and latin america|9780271037905|ISBN13
666|666|The Spoon River Poetry Review|2923|||the spoon river poetry review|spoon river poetry review|0738-8993|ISSN
741|741|Ethos: The Journal for the Society for Psychological Anthropology|686|||ethos the journal for the society for psychological anthropology|ethosjournal for the society for psychological anthropology|0091-2131|ISSN
752|752|Complex Analysis and Operator Theory|2308|||complex analysis and operator theory|complex analysis and operatorory|1661-8254|ISSN
766|766|The Hill|1|||the hill|hill|1521-1568|ISSN
2008|511|Transactions of the American Fisheries Society|2931|||transactions of the american fisheries society|transactions ofamerican fisheries society|0002-8487|ISSN
808|3312|The poetry of James Joyce reconsidered|1|||the poetry of james joyce reconsidered|poetry of james joyce reconsidered|9780813039763|ISBN13
1747|9|Illinois Journal of Mathematics|2800|||illinois journal of mathematics|illinois journal of mamatics|0019-2082|ISSN
129|129|Southern Economic Journal|544|||southern economic journal|sourn economic journal|0038-4038|ISSN
831|831|The language of music revealed:  a real easy way for anyone to learn to read and write music|1|||the language of music revealed a real easy way for anyone to learn to read and write music|language of music revealed a real easy way for anyone to learn to read and write music|9781612331287|ISBN13
832|832|In the self's place:the approach of Saint Augustine|1|||in the self s place the approach of saint augustine|inself s place the approach of saint augustine|0804762902|ISBN10
835|835|The receptionist and other tales:  poems|1|||the receptionist and other tales poems|receptionist and other tales poems|9781619760127|ISBN13
842|842|Families, Systems and Health|752|||families systems health the journal of collaborative family healthcare|families systems healthjournal of collaborative family healthcare|1939-0602|ISSN
852|852|The Journal of Asian Studies|409|||the journal of asian studies|journal of asian studies|0021-9118|ISSN
858|858|Symbolist Films: The Metaphorical Expression of Narrative  Films|1|||symbolist films the metaphorical expression of narrative films|symbolist filmsmetaphorical expression of narrative films|9783847315384|ISBN13
914|914|Journal of Mathematics and the Arts|574|||journal of mathematics and the arts|journal of mamatics and the arts|1751-3472|ISSN
920|920|Journal of the London Mathematical Society|1768|||journal of the london mathematical society|journal oflondon mathematical society|0024-6107|ISSN
878|878|Michigan Mathematical Journal|2887|||michigan mathematical journal|michigan mamatical journal|0026-2285|ISSN
908|908|The Journal of Wealth Management|2966|||the journal of wealth management|journal of wealth management|1534-7524|ISSN
882|882|The Missouri Review|2989|||the missouri review|missouri review|1548-9930|ISSN
924|924|Made in China: export porcelain from the Leo and Doris Hodroff collection at Winterthur|1|||made in china export porcelain from the leo and doris hodroff collection at winterthur|made in china export porcelain fromleo and doris hodroff collection at winterthur|0912724641|ISBN10
1249|1249|Applied Mathematics and Computation|1276|||applied mathematics and computation|applied mamatics and computation|0096-3003|ISSN
1283|1283|Journal of Consumer Health on the Internet|361|||journal of consumer health on the internet|journal of consumer health oninternet|1539-8285|ISSN
1312|1312|25th Annual International Conference of the IEEE|22|||25th annual international conference of the ieee|25th annual international conference ofieee|0-7803-7789-3|ISBN10
1330|1330|portal: Libraries and the Academy|1666|||portal libraries and the academy|portal libraries andacademy|1530-7131|ISSN
1343|1343|Proceedings of the American Mathematical Society|739|||proceedings of the american mathematical society|proceedings ofamerican mathematical society|0002-9939|ISSN
1362|1362|Bulletin of the Comediantes|194|||bulletin of the comediantes|bulletin ofcomediantes|1944-0928|ISSN
1370|1370|Narrative Theory Unbound: Queer and Feminist Interventions|198|||narrative theory unbound queer and feminist interventions|narrativeory unbound queer and feminist interventions|9780814293850|ISBN13
982|1549|Proceedings of the National Academy of Sciences of the United States of America|1863|||proceedings of the national academy of sciences of the united states of america|proceedings ofnational academy of sciences of the united states of america|0027-8424|ISSN
1392|1392|The Oxford Handbook of Undergraduate Psychology Education|10|||the oxford handbook of undergraduate psychology education|oxford handbook of undergraduate psychology education|9780199933822|ISBN13
1429|1429|Advances in Mathematics|1276|||advances in mathematics|advances in mamatics|0001-8708|ISSN
1433|1433|Art and devotion at a Buddhist temple in the Indian Himalaya|207|||art and devotion at a buddhist temple in the indian himalaya|art and devotion at a buddhist temple inindian himalaya|9780253013064|ISBN13
1436|1436|Other Country: Barry Lopez and the Community of Artists|208|||other country barry lopez and the community of artists|or country barry lopez and the community of artists|9780816500550|ISBN13
1457|1457|Fundamenta Mathematicae|2050|||fundamenta mathematicae|fundamenta mamaticae|0016-2736|ISSN
1461|1461|The New England Quarterly|458|||the new england quarterly|new england quarterly|0028-4866|ISSN
1475|1475|Cognitive Therapy and Research|2308|||cognitive therapy and research|cognitiverapy and research|0147-5916|ISSN
1484|1484|Computational Methods and Function Theory|2308|||computational methods and function theory|computational methods and functionory|1617-9447|ISSN
1488|1488|The Malahat Review|225|||the malahat review|malahat review|0025-1216|ISSN
1514|1514|Raising Lilly Ledbetter. Women Poets Occupy the Workplace|238|||raising lilly ledbetter women poets occupy the workplace|raising lilly ledbetter women poets occupyworkplace|9780991146598|ISBN13
1518|1518|Homa Variations: The Study of Ritual Change across the Longue Duree|10|||homa variations the study of ritual change across the longue duree|homa variationsstudy of ritual change across the longue duree|9780199351596|ISBN13
1526|1526|The Journal of African History|408|||the journal of african history|journal of african history|1469-5138|ISSN
1562|1562|The American Historical Review|497|||the american historical review|american historical review|0002-8762|ISSN
1566|1566|The Journal of American Culture|543|||the journal of american culture|journal of american culture|1542-734X|ISSN
1575|1575|The Journal of Roman Studies|409|||the journal of roman studies|journal of roman studies|0075-4358|ISSN
1369|1369|Theater of War and Exile: Twelve Playwrights, Directors and Performers from Eastern Europe and Israel|197|||theater of war and exile twelve playwrights directors and performers from eastern europe and israel|ater of war and exile twelve playwrights directors and performers from eastern europe and israel|9780786473120|ISBN13
1576|1576|The Classical Review|409|||the classical review|classical review|0009-840X|ISSN
1591|1591|The Catholic Historical Review|1065|||the catholic historical review|catholic historical review|0008-8080|ISSN
1597|1597|Southern Poetry Review|273|||southern poetry review|sourn poetry review|0038-447X|ISSN
1613|1613|On the origin of superheroes: from the big bang to Action Comics no. 1|286|||on the origin of superheroes from the big bang to action comics no 1|onorigin of superheroes from the big bang to action comics no 1|9781609383817|ISBN13
1752|1752|A Companion to the Works of Max Frisch|41|||a companion to the works of max frisch|companion toworks of max frisch|9781571134189|ISBN13
1690|1690|Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS|1|||proceedings of the annual international conference of the ieee engineering in medicine and biology society embs|proceedings ofannual international conference of the ieee engineering in medicine and biology society embs|9781424492718|ISBN13
1815|1815|Encyclopedia of the Novel|2845|||encyclopedia of the novel|encyclopedia ofnovel|1579580157|ISBN10
2057|2057|General George C. Marshall and the Atomic Bomb|2947|||general george c marshall and the atomic bomb|general george c marshall andatomic bomb|9781440842856|ISBN13
2060|2060|The Digital Humanities and Islamic & Middle East Studies|2949|||the digital humanities and islamic middle east studies|digital humanities and islamic middle east studies|9783110376517|ISBN13
1626|12|The Forum|1184|||the forum|forum|1540-8884|ISSN
73|73|Acta Mathematica Hungarica|2308|||acta mathematica hungarica|acta mamatica hungarica|0236-5294|ISSN
542|542|Acta Analytica: International Periodical for Philosophy in the Analytical Tradition|2308|||acta analytica international periodical for philosophy in the analytical tradition|acta analytica international periodical for philosophy inanalytical tradition|0353-5150|ISSN
253|253|Chinese export porcelain:   in the Reeves Center collection at Washington and Lee University|160|||chinese export porcelain in the reeves center collection at washington and lee university|chinese export porcelain inreeves center collection at washington and lee university|1903942195|ISBN10
254|3265|Oeconomies in the age of Newton|1|||oeconomies in the age of newton|oeconomies inage of newton|0822365863|ISBN10
949|949|Applied Mathematics Letters|1276|||applied mathematics letters|applied mamatics letters|0893-9659|ISSN
965|965|Francis Bacon's New Atlantis in the foundation of modern political thought|1|||francis bacon s new atlantis in the foundation of modern political thought|francis bacon s new atlantis infoundation of modern political thought|0739181505|ISBN10
971|971|Bicycle citizens: the political world of the Japanese housewife|118|||bicycle citizens the political world of the japanese housewife|bicycle citizenspolitical world of the japanese housewife|0520212908|ISBN10
1058|1058|The FASEB Journal|1350|||the faseb journal|faseb journal|0892-6638|ISSN
1084|1084|Orienting the Self: The German Literary Encounter with the Eastern Other|1|||orienting the self the german literary encounter with the eastern other|orientingself the german literary encounter with the eastern other|9781571135940|ISBN13
1101|1101|Rebels against the Confederacy: North Carolina's unionists|1|||rebels against the confederacy north carolina s unionists|rebels againstconfederacy north carolina s unionists|9781107075245|ISBN13
1106|1106|The Girl with the Dragon Tattoo and Philosophy|1|||the girl with the dragon tattoo and philosophy|girl with the dragon tattoo and philosophy|9780470947586|ISBN13
1115|1115|The Cambridge History of the English Novel|1|||the cambridge history of the english novel|cambridge history of the english novel|9781139013796|ISBN13
1118|1118|Morality and the Emotions|1|||morality and the emotions|morality andemotions|9780199577507|ISBN13
1119|1119|The Future of Nuclear Power in the United States|1|||the future of nuclear power in the united states|future of nuclear power in the united states|9781938187001|ISBN13
1122|1122|Advertising Theory|45|||advertising theory|advertisingory|9780415886628|ISBN13
923|184|Rocky Mountain Journal of Mathematics|2124|||rocky mountain journal of mathematics|rocky mountain journal of mamatics|0035-7596|ISSN
414|731|The Journal of Middle Eastern Women's Studies|1496|||the journal of middle eastern women s studies|journal of middle eastern women s studies|1558-9579|ISSN
1970|974|Register of the Kentucky Historical Society|2905|||register of the kentucky historical society|register ofkentucky historical society|2161-0355|ISSN
649|2037|Eudaimonia: the Georgetown philosophical review|1|||eudaimonia the georgetown philosophical review|eudaimoniageorgetown philosophical review|1931-745X|ISSN
263|263|The Hollow Log Lounge:   poems|1|||the hollow log lounge poems|hollow log lounge poems|0252028627|ISBN10
822|822|All the truth|72|||all the truth|alltruth|9780425247631|ISBN13
1124|1124|Collaborative Endeavors in the Chemical Analysis of Art and Cultural Heritage Materials|710|||collaborative endeavors in the chemical analysis of art and cultural heritage materials|collaborative endeavors inchemical analysis of art and cultural heritage materials|9780841227309|ISBN13
1126|1126|Redrawing the map of early modern English Catholicism|1|||redrawing the map of early modern english catholicism|redrawingmap of early modern english catholicism|9781442643123|ISBN13
1127|1127|The Blair Reader|1|||the blair reader|blair reader|9780205901845|ISBN13
1131|1131|The Oxford Encyclopedia of American Social History|1|||the oxford encyclopedia of american social history|oxford encyclopedia of american social history|9780199743377|ISBN13
1133|1133|The Ecopoetry anthology|1|||the ecopoetry anthology|ecopoetry anthology|9781595341464|ISBN13
1135|1135|World View and Theory in Indian Philosophy|1|||world view and theory in indian philosophy|world view andory in indian philosophy|9789350980125|ISBN13
1136|1136|The Muse at Play : Riddles and Wordplay in Greek and Latin Poetry|1|||the muse at play riddles and wordplay in greek and latin poetry|muse at play riddles and wordplay in greek and latin poetry|9783110270006|ISBN13
1138|1138|The Culture and Philosophy of Ridley Scott|1|||the culture and philosophy of ridley scott|culture and philosophy of ridley scott|9780739178720|ISBN13
1142|1142|Masterworks from the Beaverbrook Art Gallery.|1|||masterworks from the beaverbrook art gallery|masterworks frombeaverbrook art gallery|9780864924216|ISBN13
1144|1144|Dali : l'exposition = the exhibition|1|||dali l exposition the exhibition|dali l expositionexhibition|9782844265883|ISBN13
1148|1148|California Prose Directory: New Writing from The Golden State|153|||california prose directory new writing from the golden state|california prose directory new writing fromgolden state|9781937402549|ISBN13
1152|1152|Empathie et Esthetique|1|||empathie et esthetique|empathie et estique|9782705684723|ISBN13
1153|1153|What Happened in and to Moral Philosophy in the Twentieth Century? Philosophical Essays in Honor of Alasdair MacIntyre|1|||what happened in and to moral philosophy in the twentieth century philosophical essays in honor of alasdair macintyre|what happened in and to moral philosophy intwentieth century philosophical essays in honor of alasdair macintyre|9780268037376|ISBN13
1160|3254|Democratic reform in Japan: assessing the impact|1|||democratic reform in japan assessing the impact|democratic reform in japan assessingimpact|9781588265814|ISBN13
1169|1169|Obsession: Sestinas in the Twenty-First Century|1|||obsession sestinas in the twenty first century|obsession sestinas intwenty first century|9781611685305|ISBN13
1173|1173|Distant Readings: Topologies of German Culture in the Long Nineteenth Century|1|||distant readings topologies of german culture in the long nineteenth century|distant readings topologies of german culture inlong nineteenth century|9781571135391|ISBN13
1174|1174|The Ashgate Research Companion to the Counter-Reformation|1|||the ashgate research companion to the counter reformation|ashgate research companion to the counter reformation|9781409423737|ISBN13
1175|1175|Complexity and the Human Experience: Modeling Complexity in the Humanities and Social Sciences|173|||complexity and the human experience modeling complexity in the humanities and social sciences|complexity andhuman experience modeling complexity in the humanities and social sciences|9789814463263|ISBN13
1178|1178|The Road to the Spring: Collected Poems of Mary Austin|1|||the road to the spring collected poems of mary austin|road to the spring collected poems of mary austin|9780815633457|ISBN13
1186|1186|Forging a Rewarding Career in the Humanities: Advice for Academics|1|||forging a rewarding career in the humanities advice for academics|forging a rewarding career inhumanities advice for academics|9789462098442|ISBN13
265|265|The man who loves Czanne:   poems|1|||the man who loves czanne poems|man who loves czanne poems|0807128996|ISBN10
267|267|Pacific Journal of Mathematics|1801|||pacific journal of mathematics|pacific journal of mamatics|0030-8730|ISSN
271|271|Electronic Notes in Discrete Mathematics|1276|||electronic notes in discrete mathematics|electronic notes in discrete mamatics|1571-0653|ISSN
1187|1187|The Oxford Handbook of Cognitive Literary Studies|1|||the oxford handbook of cognitive literary studies|oxford handbook of cognitive literary studies|9780199978076|ISBN13
1189|1189|Far from the madding crowd|1|||far from the madding crowd|far frommadding crowd|9780451528568|ISBN13
1196|1196|Composition(s) in the new liberal arts|172|||composition s in the new liberal arts|composition s innew liberal arts|9781572738447|ISBN13
1198|1198|The Revolution in Venezuela : social and political change under Chávez|1|||the revolution in venezuela social and political change under ch vez|revolution in venezuela social and political change under ch vez|9780674061385|ISBN13
1205|1205|Academic Leadership in Higher Education: From the Top Down and the Bottom Up|5|||academic leadership in higher education from the top down and the bottom up|academic leadership in higher education fromtop down and the bottom up|9781475808056|ISBN13
1209|1209|The exorbitant: Emmanuel Levinas between Jews and Christians|1|||the exorbitant emmanuel levinas between jews and christians|exorbitant emmanuel levinas between jews and christians|9780823230150|ISBN13
1219|1219|The Cambridge History of American Poetry|6|||the cambridge history of american poetry|cambridge history of american poetry|9780511762284|ISBN13
1860|1860|Motivational Internalism and the Authority of Morality|2863|||motivational internalism and the authority of morality|motivational internalism andauthority of morality|9783639347821|ISBN13
1926|1926|The Marketing Review|2740|||the marketing review|marketing review|1469-347X|ISSN
262|262|Monuments to the lost cause:   women, art, and the landscapes of southern memory|1|||monuments to the lost cause women art and the landscapes of southern memory|monuments tolost cause women art and the landscapes of southern memory|1572332727|ISBN10
294|294|China in the anti-Japanese War, 1937-1945:   politics, culture and society|161|||china in the anti japanese war 1937 1945 politics culture and society|china inanti japanese war 1937 1945 politics culture and society|0820445568|ISBN10
320|320|Corpo del Papa (The Pope's Body)|91|||corpo del papa english the pope s body|corpo del papa englishpope s body|0226034372|ISBN10
321|321|Nature, woman, and the art of politics|1|||nature woman and the art of politics|nature woman andart of politics|0847692469|ISBN10
388|388|The art of the gut: manhood, power, and ethics in Japanese politics|1|||the art of the gut manhood power and ethics in japanese politics|art of the gut manhood power and ethics in japanese politics|9780520259164|ISBN13
455|455|Humans and Other Animals in Eighteenth-Century British Culture: Representation, Hybridity, Ethics|1|||humans and other animals in eighteenth century british culture representation hybridity ethics|humans and or animals in eighteenth century british culture representation hybridity ethics|0754654753|ISBN10
28|28|Quine's naturalism:   language, theory, and the knowing subject|1|||quine s naturalism language theory and the knowing subject|quine s naturalism languageory and the knowing subject|9780826490995|ISBN13
